index,filename,sharpness,sharpness_norm,prev_hist_diff,prev_hist_diff_norm,combined_score,selected
0,000000.jpg,168.771405,0.891834,0.000000,0.000000,0.891834,True
1,000010.jpg,139.994148,0.719691,0.159122,0.452506,0.878068,True
2,000020.jpg,118.394397,0.590483,0.089247,0.253798,0.679313,True
3,000030.jpg,127.377631,0.644220,0.096232,0.273662,0.740002,True
4,000040.jpg,69.895051,0.300365,0.105645,0.300430,0.405516,True
5,000050.jpg,95.083272,0.451039,0.115758,0.329189,0.566255,True
6,000060.jpg,42.866660,0.138684,0.130855,0.372121,0.268927,True
7,000070.jpg,81.055194,0.367124,0.115548,0.328592,0.482131,True
8,000080.jpg,79.149694,0.355726,0.096551,0.274568,0.451824,True
9,000090.jpg,93.053688,0.438898,0.215125,0.611765,0.653016,True
10,000100.jpg,76.633046,0.340671,0.136307,0.387624,0.476340,True
11,000110.jpg,65.221686,0.272410,0.105581,0.300247,0.377496,True
12,000120.jpg,80.799085,0.365592,0.106157,0.301885,0.471252,True
13,000130.jpg,82.249197,0.374266,0.153180,0.435608,0.526729,True
14,000140.jpg,43.830319,0.144449,0.135973,0.386674,0.279785,True
15,000150.jpg,51.973586,0.193161,0.113180,0.321856,0.305810,True
16,000160.jpg,76.384057,0.339182,0.075568,0.214899,0.414396,True
17,000170.jpg,36.111579,0.098276,0.110740,0.314919,0.208498,True
18,000180.jpg,39.755611,0.120074,0.292277,0.831168,0.410983,True
19,000190.jpg,82.044868,0.373044,0.150704,0.428566,0.523042,True
20,000200.jpg,83.020586,0.378881,0.106903,0.304008,0.485284,True
21,000210.jpg,98.207744,0.469729,0.107032,0.304373,0.576260,True
22,000220.jpg,88.987475,0.414574,0.099547,0.283087,0.513655,True
23,000230.jpg,95.569672,0.453948,0.120660,0.343129,0.574043,True
24,000240.jpg,65.516865,0.274175,0.081755,0.232491,0.355547,True
25,000250.jpg,116.148569,0.577049,0.105353,0.299599,0.681909,True
26,000260.jpg,37.058708,0.103941,0.177427,0.504562,0.280538,True
27,000270.jpg,64.354559,0.267222,0.239911,0.682252,0.506011,True
28,000280.jpg,72.126932,0.313716,0.091548,0.260340,0.404835,True
29,000290.jpg,26.538940,0.041013,0.132239,0.376057,0.172633,True
30,000300.jpg,30.366926,0.063912,0.135445,0.385175,0.198723,True
31,000310.jpg,61.565190,0.250537,0.169978,0.483379,0.419719,True
32,000320.jpg,58.907656,0.234640,0.130736,0.371783,0.364764,True
33,000330.jpg,46.359347,0.159577,0.117126,0.333079,0.276155,True
34,000340.jpg,71.873460,0.312200,0.087320,0.248317,0.399111,True
35,000350.jpg,60.662855,0.245139,0.073791,0.209845,0.318585,True
36,000360.jpg,53.711510,0.203557,0.241090,0.685605,0.443518,True
37,000370.jpg,47.255222,0.164936,0.090169,0.256420,0.254683,True
38,000380.jpg,48.821169,0.174303,0.066111,0.188004,0.240105,True
39,000390.jpg,43.733704,0.143871,0.070519,0.200540,0.214060,False
40,000400.jpg,71.449241,0.309662,0.079792,0.226909,0.389080,True
41,000410.jpg,63.365032,0.261303,0.105181,0.299111,0.365992,True
42,000420.jpg,85.469845,0.393532,0.116456,0.331174,0.509443,True
43,000430.jpg,56.809325,0.222088,0.151789,0.431651,0.373166,True
44,000440.jpg,55.844404,0.216316,0.186578,0.530584,0.402020,True
45,000450.jpg,54.834904,0.210277,0.351646,1.000000,0.560277,True
46,000460.jpg,23.493976,0.022799,0.129457,0.368144,0.151649,True
47,000470.jpg,47.960448,0.169155,0.175737,0.499754,0.344069,True
48,000480.jpg,45.629054,0.155208,0.110701,0.314808,0.265391,True
49,000490.jpg,62.969851,0.258939,0.141589,0.402647,0.399866,True
50,000500.jpg,50.715577,0.185635,0.107951,0.306987,0.293081,True
51,000510.jpg,35.891440,0.096959,0.123015,0.349826,0.219398,True
52,000520.jpg,37.473338,0.106422,0.151455,0.430702,0.257167,True
53,000530.jpg,30.543686,0.064969,0.104104,0.296048,0.168586,True
54,000540.jpg,51.030975,0.187522,0.277293,0.788556,0.463517,True
55,000550.jpg,28.491943,0.052696,0.105492,0.299994,0.157694,True
56,000560.jpg,44.522970,0.148592,0.156793,0.445884,0.304651,True
57,000570.jpg,31.039347,0.067934,0.158196,0.449874,0.225390,True
58,000580.jpg,39.611972,0.119215,0.141565,0.402579,0.260117,True
59,000590.jpg,22.636446,0.017669,0.121923,0.346722,0.139021,True
60,000600.jpg,25.253460,0.033324,0.127514,0.362620,0.160241,True
61,000610.jpg,19.682723,0.000000,0.153352,0.436099,0.152635,True
62,000620.jpg,22.826280,0.018804,0.312178,0.887762,0.329521,True
63,000630.jpg,20.098729,0.002489,0.238638,0.678630,0.240009,True
64,000640.jpg,24.140976,0.026669,0.189669,0.539375,0.215450,True
65,000650.jpg,31.482658,0.070586,0.198898,0.565618,0.268552,True
66,000660.jpg,27.157257,0.044712,0.233993,0.665421,0.277609,True
67,000670.jpg,49.393695,0.177728,0.161533,0.459363,0.338505,True
68,000680.jpg,33.020408,0.079785,0.253241,0.720159,0.331840,True
69,000690.jpg,61.090682,0.247698,0.303097,0.861937,0.549376,True
70,000700.jpg,34.468962,0.088450,0.190030,0.540400,0.277590,True
71,000710.jpg,31.871320,0.072911,0.185306,0.526968,0.257350,True
