index,filename,sharpness,sharpness_norm,prev_hist_diff,prev_hist_diff_norm,combined_score,selected
0,000000.jpg,168.771405,0.895484,0.000000,0.000000,0.895484,True
1,000015.jpg,113.704719,0.577196,0.211030,0.505068,0.753970,False
2,000030.jpg,127.377631,0.656226,0.117788,0.281909,0.754894,False
3,000045.jpg,64.646860,0.293639,0.136269,0.326139,0.407788,True
4,000060.jpg,42.866660,0.167749,0.165931,0.397131,0.306745,False
5,000075.jpg,92.977774,0.457393,0.157050,0.375877,0.588950,False
6,000090.jpg,93.053688,0.457832,0.210734,0.504359,0.634358,True
7,000105.jpg,91.250702,0.447411,0.157474,0.376890,0.579322,False
8,000120.jpg,80.799085,0.387000,0.130412,0.312121,0.496242,True
9,000135.jpg,45.656443,0.183874,0.184100,0.440615,0.338089,False
10,000150.jpg,51.973586,0.220387,0.151467,0.362514,0.347267,False
11,000165.jpg,59.403073,0.263330,0.102360,0.244983,0.349074,True
12,000180.jpg,39.755611,0.149767,0.304100,0.727817,0.404503,False
13,000195.jpg,105.307530,0.528660,0.196606,0.470546,0.693351,False
14,000210.jpg,98.207744,0.487623,0.121705,0.291283,0.589572,True
15,000225.jpg,76.912152,0.364533,0.152375,0.364687,0.492174,False
16,000240.jpg,65.516865,0.298668,0.119524,0.286063,0.398790,False
17,000255.jpg,65.258541,0.297175,0.137761,0.329709,0.412573,True
18,000270.jpg,64.354559,0.291950,0.243648,0.583133,0.496047,False
19,000285.jpg,56.351246,0.245690,0.115737,0.276999,0.342640,True
20,000300.jpg,30.366926,0.095500,0.171600,0.410699,0.239244,False
21,000315.jpg,60.340277,0.268747,0.220362,0.527404,0.453339,False
22,000330.jpg,46.359347,0.187937,0.139891,0.334808,0.305119,True
23,000345.jpg,82.729283,0.398157,0.092774,0.222041,0.475871,False
24,000360.jpg,53.711510,0.230433,0.243657,0.583156,0.434537,False
25,000375.jpg,70.000110,0.324581,0.106183,0.254133,0.413528,True
26,000390.jpg,43.733704,0.172760,0.086726,0.207565,0.245408,False
27,000405.jpg,71.143339,0.331189,0.111202,0.266145,0.424340,False
28,000420.jpg,85.469845,0.413997,0.161229,0.385878,0.549054,True
29,000435.jpg,64.725271,0.294093,0.172052,0.411781,0.438216,False
30,000450.jpg,54.834904,0.236926,0.390613,0.934872,0.564131,False
31,000465.jpg,59.700076,0.265047,0.160215,0.383451,0.399255,True
32,000480.jpg,45.629054,0.183716,0.186685,0.446802,0.340096,False
33,000495.jpg,70.967433,0.330173,0.179602,0.429849,0.480620,True
34,000510.jpg,35.891440,0.127432,0.158968,0.380466,0.260595,False
35,000525.jpg,52.577987,0.223881,0.183922,0.440189,0.377947,False
36,000540.jpg,51.030975,0.214939,0.274464,0.656887,0.444849,True
37,000555.jpg,49.312248,0.205005,0.161215,0.385843,0.340050,False
38,000570.jpg,31.039347,0.099386,0.202788,0.485342,0.269256,False
39,000585.jpg,19.820443,0.034541,0.179393,0.429349,0.184813,True
40,000600.jpg,25.253460,0.065944,0.154873,0.370664,0.195676,False
41,000615.jpg,13.844589,0.000000,0.216084,0.517164,0.181008,False
42,000630.jpg,20.098729,0.036149,0.417825,1.000000,0.386149,True
43,000645.jpg,26.941509,0.075701,0.227659,0.544867,0.266404,False
44,000660.jpg,27.157257,0.076948,0.349083,0.835477,0.369365,False
45,000675.jpg,80.127202,0.383116,0.251028,0.600798,0.593396,True
46,000690.jpg,61.090682,0.273084,0.339328,0.812131,0.557330,False
47,000705.jpg,24.126968,0.059433,0.230599,0.551904,0.252599,True
48,000720.jpg,27.062234,0.076399,0.308727,0.738891,0.335010,False
49,000735.jpg,37.072571,0.134259,0.387085,0.926430,0.458509,False
50,000750.jpg,28.470193,0.084537,0.364614,0.872648,0.389963,True
51,000765.jpg,42.893018,0.167901,0.300094,0.718229,0.419281,False
52,000780.jpg,43.021687,0.168645,0.207010,0.495448,0.342052,False
53,000795.jpg,36.708137,0.132152,0.325020,0.777887,0.404413,True
54,000810.jpg,72.643100,0.339858,0.242608,0.580645,0.543084,False
55,000825.jpg,87.405934,0.425188,0.125684,0.300805,0.530470,False
56,000840.jpg,54.079850,0.232562,0.126059,0.301704,0.338158,True
57,000855.jpg,89.779736,0.438908,0.134774,0.322562,0.551805,False
58,000870.jpg,90.327135,0.442072,0.146895,0.351572,0.565123,True
59,000885.jpg,93.227655,0.458838,0.128539,0.307640,0.566511,False
60,000900.jpg,77.384062,0.367261,0.172373,0.412547,0.511653,False
61,000915.jpg,107.107632,0.539064,0.157670,0.377359,0.671140,True
62,000930.jpg,167.495010,0.888106,0.127521,0.305201,0.994927,False
63,000945.jpg,163.188459,0.863214,0.078996,0.189066,0.929387,False
64,000960.jpg,186.853669,1.000000,0.067504,0.161560,1.056546,True
